ID,time_YYYYMMDDHH,lat,lon,mlcape,sbcape,mucape,mlcin,sbcin,mucin,mllcl,sblcl,shr01u,shr01v,shr03u,shr03v,shr06u,shr06v,srh01,srh03,scp
20030319-storm1,2003031918,34.26,-86.235,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030319-storm1,2003031919,34.46,-86.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030319-storm1,2003031920,34.805,-85.69,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030319-storm1,2003031921,35.075,-85.405,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030428-storm1,2003042821,42.59,-113.295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030428-storm1,2003042822,42.675,-113.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030428-storm1,2003042823,42.89,-112.615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030428-storm1,2003042900,43.07,-112.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030428-storm1,2003042901,43.18,-111.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030429-storm1,2003042921,39.42,-104.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030429-storm1,2003042922,39.415,-104.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030429-storm1,2003042923,39.485,-104.555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030429-storm1,2003043000,39.545,-104.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030429-storm1,2003043001,39.7,-103.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030429-storm1,2003043002,39.685,-103.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030430-storm1,2003050100,41.435,-94.095,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20030430-storm1,2003050101,41.595,-93.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
