storm identifier,report ID,date,year,month,day,time,error,type,mag,state,county,radar,slat,slon,elat,elon,start_time (start time of storm analysis),end_time (end time of storm analysis),start_lat (start lat of storm analysis),start_lon (start lon of storm analysis),end_lat (end lat of storm analysis),end_lon (end lon of storm analysis),bndy,hcr,merger,merger_times (separated by spaces � HHMM),bndy orientation (degrees ... included if there is a boundary or HCRs),do_not_include,notes (NO COMMAS),,,,,,
20030222-storm1,2003-T-000027-01,2/22/03,2003,2,22,2109,,TORNADO,1,KY,Breathitt,KJKL,37.55,-83.55,37.55,-83.55,2023,2150,,,,,0,0,0,,,,37.2145 -84.0162 37.9330 -83.0586 - could be a merger here - weird Zh echo ahead of storm right before torgen - not counting it though because it looks like it actually may be the CI associated with the line segment development that eventually chokes off cell w/o a merger of low-level echo,,,,,,
20030312-storm1,2003-H-005218-00,3/12/03,2003,3,12,2300,,HAIL,200,LA,Natchitoches,KPOE,31.5,-92.93,,,,,,,,,0,0,,,,1,NO KPOE RADAR DATA,,,,,,
20030319-storm1,2003-T-000757-01,3/19/03,2003,3,19,1950,,TORNADO,1,AL,Jackson,KHTX,34.75,-85.72,34.78,-85.68,1823,2038,,,,,0,0,1,1848 1908 1918 2018 2028,,,34.2817 -86.2203 35.0979 -85.3899,,,,,,
20030420-storm1,2003-T-000057-01,4/20/03,2003,4,20,2039,,TORNADO,1,KY,Christian,KHPX,37.05,-87.5,37.05,-87.48,,,,,,,0,0,,,,1,NO KHPX RADAR DATA,,,,,,
20030428-storm1,2003-T-000107-01,4/28/03,2003,4,28,2300,,TORNADO,0,ID,Power,KSFX,42.88,-112.65,42.88,-112.6,2126,38,,,,,0,0,0,,,,42.5945 -113.2846 42.1993 -111.8017 - clean storm evolution,,,,,,
20030428-storm1,2003-W-002045-01,4/28/03,2003,4,28,2325,,WIND,70,ID,Bannock,KSFX,42.95,-112.45,,,2126,38,,,,,0,0,0,,,1,42.5945 -113.2846 42.1993 -111.8017 - clean storm evolution - repeat of previous storm,,,,,,
20030429-storm1,2003-H-001088-00,4/29/03,2003,4,29,2315,,HAIL,200,CO,Elbert,KFTG,39.42,-104.55,,,2144,126,,,,,0,0,1,2320,,,39.3714 -104.9068 39.7081 -103.7053 - report is exactly one hour off (time zone error - was listed as 2215 in the original data file - adjusted to 2315 here),,,,,,
20030430-storm1,2003-H-002132-00,5/1/03,2003,5,1,206,,HAIL,275,IA,Jasper,KDMX,41.67,-93.25,,,37,222,,,,,0,0,1,0057 0207,,,41.4588 -94.1108 41.7156 -92.9044 - right turn near 0107,,,,,,
20030501-storm1,2003-H-012454-00,5/1/03,2003,5,1,2016,,HAIL,250,TX,Tarrant,KFWS,32.75,-97.35,,,1950,2030,,,,,0,0,1,2030,,,32.8413 -97.3968 32.8087 -97.2506 - analysis ended as storm2 overtakes storm1 - storm1 no longer a discrete RM at that point,,,,,,
20030501-storm2,2003-H-012470-00,5/1/03,2003,5,1,2155,,HAIL,200,TX,Dallas,KFWS,32.58,-96.98,,,2005,2224,,,,,0,0,0,,,,32.7847 -97.4646 32.5914 -97.0097 - cell dies out,,,,,,
